Company,Name,Email,Phone,Address,City,State,Postal Code,Country,Vat No,CF 1,CF 2,CF 3,CF 4,CF 5,CF 6
PRASANNA MOTORS,-,sales24@gmail.com,112641187,RAWTHAWATHA,RAWTHAWATHA,WP,00001,SRI LANKA,,,,,,,
RANLEE MOTORS,-,sales25@gmail.com,719800704,"HORANA RD, KESBEWA",KESBEWA,WP,00001,SRI LANKA,,,,,,,
RIYOTA MOTORS,-,sales36@gmail.com,777891394,"GALLE RD, NORTH KALUTARA, KALUTARA",KALUTARA,WP,00001,SRI LANKA,,,,,,,
S C FERNANDO SERVICE,-,sales26@gmail.com,719007367,"EGODAYA UYANA, MORATUWA",MORATUWA,WP,00001,SRI LANKA,,,,,,,
S D G ENTERPRISES,-,sales27@gmail.com,773732742,"MORONTUDUWA RD, WADDUWA",WADDUWA,WP,00001,SRI LANKA,,,,,,,
S. D. MOTORS,-,sales28@gmail.com,777945710,"GALLE RD, RATMALANA",RATMALANA,WP,00001,SRI LANKA,,,,,,,
SAM LANKA ICE (PVT) LTD,-,sales29@gmail.com,776166052,"MALAMULLA RD, PANADURA",PANADURA,WP,00001,SRI LANKA,,,,,,,
SAVINDA GRAPHICS,-,sales30@gmail.com,772081511,"KATUWANA INDUSTRIAL ZONE, HOMAGAMA",HOMAGAMA,WP,00001,SRI LANKA,,,,,,,
SIRI AUTO,-,sales131@gmail.com,778102623,"WIJERAMA RD, NUGEGODA",NUGEGODA,WP,00001,SRI LANKA,,,,,,,
SIRI MOTORS,-,sales32@gmail.com,771509678,MORATUWA,MORATUWA,WP,00001,SRI LANKA,,,,,,,
SPADE INDUSTRIES,-,sales33@gmail.com,702478338,110/32 WILLORAWATTA MORATUWA,MORATUWA,WP,00001,SRI LANKA,,,,,,,
SURANGA ELECTRICAL,-,sales34@gmail.com,776600167,MAHARAGAMA,MAHARAGAMA,WP,00001,SRI LANKA,,,,,,,
SUREN MOTORS,-,sales35@gmail.com,773656659,HORANA,HORANA,WP,00001,SRI LANKA,,,,,,,
THARAKA AUTO,-,sales36@gmail.com,714593293,ATHURUGIRIYA,ATHURUGIRIYA,WP,00001,SRI LANKA,,,,,,,
UDAYA GRAPHICS,-,sales37@gmail.com,777715382,BORALESGAMUWA,BORALESGAMUWA,WP,00001,SRI LANKA,,,,,,,
UDESH MOTORS,-,sales38@gmail.com,777368934,"NEW TOWN, ANURADAPURA",ANURADAPURA,NC,00001,SRI LANKA,,,,,,,
MIHIRI MOTORS (PVT) LTD,-,mihiri@gmail.com,112748199,"HIGHLAVEL ROAD, HOMAGAMA",HOMAGAMA,WP,00001,SRI LANKA,,,,,,,
PYRAMID LANKA (PVT) LTD,-,ASHAN@PYRAMID.COM,771176416,"02/125, MUTURAJA WELA ZONE, WATTALA",WATTALA,WP,00001,SRI LANKA,,,,,,,
DM MOTORS,-,SALES@DMM.COM,773468944,"KALUBOWILA, DEHIWALA",DEHIWALA,WP,00001,SRI LANKA,,,,,,,
SANDAMINI MOTORS,-,SALES@SANDAMINI.COM,711261500,"KATUBEDDA RD, MORATUWA",MORATUWA,WP,00001,SRI LANKA,,,,,,,
NEW PAVITHRA MOTORS,-,SALES@PAVITHRA.COM,777410502,"MORONTIDUWA RD, WADDUWA",WADDUWA,WP,00001,SRI LANKA,,,,,,,
RANPATH COATING (PVT) LTD,-,SALES@RANPATH.COM,768679436,BORALESGAMUWA,BORALESGAMUWA,WP,00001,SRI LANKA,,,,,,,
SITHMA ASSOCIATES,-,INFO@SITHMA.COM,783294743,"KATUWANA INDUSTRIAL ZONE, HOMAGAMA",HOMAGAMA,WP,00001,SRI LANKA,,,,,,,
SISIRA MOTORS,-,SALES@SISIRA.COM,764005454,"GALLE RD, PANADURA",PANADURA,WP,00001,SRI LANKA,,,,,,,
EDM PACKAGING (PVT) LTD,-,INFO@EDMP.COM,771235210,"KATUWANA INDUSTRIAL ZONE, HOMAGAMA",HOMAGAMA,WP,00001,SRI LANKA,,,,,,,
WEERODARA STATIONERIES,-,INFO@WEERODARA.COM,759006604,"NAWALA RD, NUGEGODA",NUGEGODA,WP,00001,SRI LANKA,,,,,,,
KAWEESHA AUTO,-,SALES@KAWEESHA.COM,757950850,"RAJAGIRIYA RD, RAJAGIRIYA",RAJAGIRIYA,WP,00001,SRI LANKA,,,,,,,
DAMSARA MOTORS,-,SALES@DAMSARA.COM,714263413,"GODAGAMA, HOMAGAMA",HOMAGAMA,WP,00001,SRI LANKA,,,,,,,
GALADARI HOTELS (PVT) LTD,-,RESERVATION@GALADARI.COM,788927723,"GALADARI, LOTUS RD, COLOMBO",COLOMBO,WP,00001,SRI LANKA,,,,,,,
